"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Age","Weight","Type","Ranked","Comments"
"2016-08-26 00:00:00","4,574m row","32:00.0","1920","0","0","4574","0","","3:29.8","38","431","","60","Lwt","Indoor Rower","No",""
"2016-08-25 00:00:00","4,246m row","32:00.0","1920","0","0","4246","0","","3:46.1","30","403","","60","Lwt","Indoor Rower","No",""
"2016-08-24 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-23 00:00:00","4,419m row","30:03.0","1803","0","0","4419","0","","3:24.0","41","441","","60","Lwt","Indoor Rower","No",""
"2016-08-22 00:00:00","2,185m row","15:41.0","941","0","0","2185","0","","3:35.3","35","420","","60","Lwt","Indoor Rower","No",""
"2016-08-21 00:00:00","3,559m row","24:31.0","1471","0","0","3559","0","","3:26.6","40","437","","60","Lwt","Indoor Rower","No",""
"2016-08-20 00:00:00","3,333m row","23:36.0","1416","0","0","3333","0","","3:32.4","37","427","","60","Lwt","Indoor Rower","No",""
"2016-08-19 00:00:00","3,130m row","24:17.0","1457","0","0","3130","0","","3:52.7","28","396","","60","Lwt","Indoor Rower","No",""
"2016-08-18 00:00:00","2,000m row","15:56.0","956","0","0","2000","0","","3:59.0","26","389","","60","Lwt","Indoor Rower","No",""
"2016-08-17 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-16 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-15 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No","injection"
"2016-08-14 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-13 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-12 00:00:00","1,029m row","8:46.0","526","0","0","1029","0","","4:15.5","21","372","","60","Lwt","Indoor Rower","No",""
"2016-08-11 00:00:00","6,129m row","47:00.0","2820","0","0","6129","0","","3:50.0","29","400","","60","Lwt","Indoor Rower","No",""
"2016-08-10 00:00:00","2,000m row","14:55.0","895","0","0","2000","0","","3:43.7","31","407","","60","Lwt","Indoor Rower","No",""
"2016-08-09 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-08 00:00:00","6,000m row","45:34.0","2734","0","0","6000","0","","3:47.8","30","403","","60","Lwt","Indoor Rower","No",""
"2016-08-07 00:00:00","2,296m row","15:58.0","958","0","0","2296","0","","3:28.6","39","434","","60","Lwt","Indoor Rower","No",""
"2016-08-06 00:00:00","6,113m row","44:35.0","2675","0","0","6113","0","","3:38.8","33","413","","60","Lwt","Indoor Rower","No",""
"2016-08-05 00:00:00","4,000m row","31:49.0","1909","0","0","4000","0","","3:58.6","26","389","","60","Lwt","Indoor Rower","No",""
"2016-08-04 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-03 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-02 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-01 00:00:00","1,000m row","8:00.0","480","0","0","1000","0","","4:00.0","25","386","","60","Lwt","Indoor Rower","No",""
"2016-07-31 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-30 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-29 00:00:00","4,000m row","32:09.0","1929","0","0","4000","0","","4:01.1","25","386","","60","Lwt","Indoor Rower","No",""
"2016-07-28 00:00:00","6,000m row","48:33.0","2913","0","0","6000","0","","4:02.7","24","382","","60","Lwt","Indoor Rower","No",""
"2016-07-27 00:00:00","6,000m row","47:19.0","2839","0","0","6000","0","","3:56.5","26","389","","60","Lwt","Indoor Rower","No",""
"2016-07-26 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-25 00:00:00","3,560m row","30:06.0","1806","0","0","3560","0","","4:13.6","21","372","","60","Lwt","Indoor Rower","No",""
"2016-07-24 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-23 00:00:00","3,231m row","25:35.0","1535","0","0","3231","0","","3:57.5","26","389","","60","Lwt","Indoor Rower","No",""
"2016-07-22 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-21 00:00:00","2,500m row","19:42.0","1182","0","0","2500","0","","3:56.4","26","389","","60","Lwt","Indoor Rower","No",""
"2016-07-20 00:00:00","2,000m row","17:05.0","1025","0","0","2000","0","","4:16.2","21","372","","60","Lwt","Indoor Rower","No",""
"2016-07-19 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-18 00:00:00","4,061m row","38:01.0","2281","0","0","4061","0","","4:40.8","16","355","","60","Lwt","Indoor Rower","No",""
"2016-07-17 00:00:00","2,500m row","21:22.0","1282","0","0","2500","0","","4:16.4","21","372","","60","Lwt","Indoor Rower","No",""
"2016-07-16 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-15 00:00:00","1,000m row","8:47.0","527","0","0","1000","0","","4:23.5","19","365","","60","Lwt","Indoor Rower","No",""
"2016-07-14 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-13 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-12 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-11 00:00:00","5,000m row","33:29.0","2009","0","0","5000","0","","3:20.9","43","448","","60","Lwt","Indoor Rower","No",""
"2016-07-10 00:00:00","6,132m row","44:36.0","2676","0","0","6132","0","","3:38.2","34","417","","60","Lwt","Indoor Rower","No",""
"2016-07-09 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-08 00:00:00","4,594m row","34:42.0","2082","0","0","4594","0","","3:46.6","30","403","","60","Lwt","Indoor Rower","No",""
"2016-07-07 00:00:00","5,000m row","38:38.0","2318","0","0","5000","0","","3:51.8","28","396","","60","Lwt","Indoor Rower","No",""
"2016-07-06 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-05 00:00:00","1,760m row","13:55.0","835","0","0","1760","0","","3:57.2","26","389","","60","Lwt","Indoor Rower","No",""
"2016-07-04 00:00:00","2,500m row","24:02.0","1442","0","0","2500","0","","4:48.4","15","352","","60","Lwt","Indoor Rower","No",""
"2016-07-03 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-07-02 00:00:00","1,500m row","13:21.0","801","0","0","1500","0","","4:27.0","18","362","","60","Lwt","Indoor Rower","No",""
"2016-07-01 00:00:00","5,000m row","39:32.0","2372","0","0","5000","0","","3:57.2","26","389","","60","Lwt","Indoor Rower","No",""
"2016-06-30 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-29 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-28 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-27 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-26 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-25 00:00:00","6,000m row","45:39.0","2739","0","0","6000","0","","3:48.2","29","400","","60","Lwt","Indoor Rower","No",""
"2016-06-24 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-23 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-22 00:00:00","4,200m row","30:55.0","1855","0","0","4200","0","","3:40.8","32","410","","60","Lwt","Indoor Rower","No",""
"2016-06-21 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-20 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-19 00:00:00","1,500m row","11:56.0","716","0","0","1500","0","","3:58.6","26","389","","60","Lwt","Indoor Rower","No",""
"2016-06-18 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-17 00:00:00","6,260m row","57:18.0","3438","0","0","6260","0","","4:34.6","17","358","","60","Lwt","Indoor Rower","No",""
"2016-06-16 00:00:00","1,000m row","7:40.0","460","0","0","1000","0","","3:50.0","29","400","","60","Lwt","Indoor Rower","No",""
"2016-06-15 00:00:00","826m row","7:21.0","441","0","0","826","0","","4:26.9","18","362","","60","Lwt","Indoor Rower","No",""
"2016-06-14 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-13 00:00:00","7,239m row","56:32.0","3392","0","0","7239","0","","3:54.2","27","393","","60","Lwt","Indoor Rower","No",""
"2016-06-12 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-11 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-10 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-09 00:00:00","3,534m row","26:26.0","1586","0","0","3534","0","","3:44.3","31","407","","60","Lwt","Indoor Rower","No",""
"2016-06-08 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-07 00:00:00","6,000m row","45:48.0","2748","0","0","6000","0","","3:49.0","29","400","","60","Lwt","Indoor Rower","No",""
"2016-06-06 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-05 00:00:00","2,846m row","20:00.0","1200","0","0","2846","0","","3:30.8","37","427","","60","Lwt","Indoor Rower","No",""
"2016-06-04 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-03 00:00:00","5,500m row","40:28.0","2428","0","0","5500","0","","3:40.7","33","413","","60","Lwt","Indoor Rower","No",""
"2016-06-02 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-06-01 00:00:00","2,000m row","15:25.0","925","0","0","2000","0","","3:51.2","28","396","","60","Lwt","Indoor Rower","No",""
"2016-05-31 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-30 00:00:00","5,000m row","35:45.0","2145","0","0","5000","0","","3:34.5","35","420","","60","Lwt","Indoor Rower","No",""
"2016-05-29 00:00:00","5,000m row","35:17.0","2117","0","0","5000","0","","3:31.7","37","427","","60","Lwt","Indoor Rower","No",""
"2016-05-28 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-27 00:00:00","3,506m row","26:42.0","1602","0","0","3506","0","","3:48.4","29","400","","60","Lwt","Indoor Rower","No",""
"2016-05-26 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-25 00:00:00","5,000m row","33:53.0","2033","0","0","5000","0","","3:23.3","42","444","","60","Lwt","Indoor Rower","No",""
"2016-05-24 00:00:00","3,200m row","23:56.0","1436","0","0","3200","0","","3:44.3","31","407","","60","Lwt","Indoor Rower","No",""
"2016-05-23 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-22 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-21 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-20 00:00:00","5,006m row","34:09.0","2049","0","0","5006","0","","3:24.6","41","441","","60","Lwt","Indoor Rower","No",""
"2016-05-19 00:00:00","5,000m row","36:11.0","2171","0","0","5000","0","","3:37.1","34","417","","60","Lwt","Indoor Rower","No",""
"2016-05-18 00:00:00","1,000m row","10:00.0","600","0","0","1000","0","","5:00.0","13","345","","60","Lwt","Indoor Rower","No",""
"2016-05-17 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-16 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-15 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-14 00:00:00","4,157m row","26:05.0","1565","0","0","4157","0","","3:08.2","52","479","","60","Lwt","Indoor Rower","No",""
"2016-05-13 00:00:00","4,000m row","32:26.0","1946","0","0","4000","0","","4:03.2","24","382","","60","Lwt","Indoor Rower","No",""
"2016-05-12 00:00:00","2,000m row","15:00.0","900","0","0","2000","0","","3:45.0","31","407","","60","Lwt","Indoor Rower","No",""
"2016-05-11 00:00:00","2,000m row","14:24.0","864","0","0","2000","0","","3:36.0","35","420","","60","Lwt","Indoor Rower","No",""
"2016-05-10 00:00:00","4,167m row","30:39.0","1839","0","0","4167","0","","3:40.6","33","413","","60","Lwt","Indoor Rower","No",""
"2016-05-09 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-08 00:00:00","4,115m row","29:51.0","1791","0","0","4115","0","","3:37.6","34","417","","60","Lwt","Indoor Rower","No",""
"2016-05-07 00:00:00","4,000m row","31:39.0","1899","0","0","4000","0","","3:57.3","26","389","","60","Lwt","Indoor Rower","No",""
"2016-05-06 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-05 00:00:00","1,341m row","10:00.0","600","0","0","1341","0","","3:43.7","31","407","","60","Lwt","Indoor Rower","No",""
"2016-05-04 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No","REST"
"2016-05-03 00:00:00","683m row","5:00.0","300","0","0","683","0","","3:39.6","33","413","","60","Lwt","Indoor Rower","No",""
"2016-05-02 00:00:00","2,169m row","15:32.0","932","0","0","2169","0","","3:34.8","35","420","","60","Lwt","Indoor Rower","No",""
"2016-05-01 00:00:00","4,122m row","29:18.0","1758","0","0","4122","0","","3:33.2","36","424","","60","Lwt","Indoor Rower","No",""
